"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"160","Weekend","Evening","Control","Dry","Dark","Clear",2,639
"161","Weekday","Night","Unknown","Dry","Dark","Clear",5,98
"162","Weekend","Night","Unknown","Dry","Dark","Clear",2,89
"163","Weekday","Morning","Unknown","Dry","Dark","Clear",5,4
"164","Weekend","Morning","Unknown","Dry","Dark","Clear",2,2
"165","Weekday","Midday","Unknown","Dry","Dark","Clear",5,4
"166","Weekend","Midday","Unknown","Dry","Dark","Clear",2,0
"167","Weekday","Evening","Unknown","Dry","Dark","Clear",5,58
"168","Weekend","Evening","Unknown","Dry","Dark","Clear",2,31
"169","Weekday","Night","No Control","Wet","Dark","Clear",5,289
"170","Weekend","Night","No Control","Wet","Dark","Clear",2,227
"171","Weekday","Morning","No Control","Wet","Dark","Clear",5,42
"172","Weekend","Morning","No Control","Wet","Dark","Clear",2,14
"173","Weekday","Midday","No Control","Wet","Dark","Clear",5,11
"174","Weekend","Midday","No Control","Wet","Dark","Clear",2,8
"175","Weekday","Evening","No Control","Wet","Dark","Clear",5,297
"176","Weekend","Evening","No Control","Wet","Dark","Clear",2,103
"177","Weekday","Night","Control","Wet","Dark","Clear",5,297
"178","Weekend","Night","Control","Wet","Dark","Clear",2,187
"179","Weekday","Morning","Control","Wet","Dark","Clear",5,41
"180","Weekend","Morning","Control","Wet","Dark","Clear",2,10
"181","Weekday","Midday","Control","Wet","Dark","Clear",5,12
"182","Weekend","Midday","Control","Wet","Dark","Clear",2,2
"183","Weekday","Evening","Control","Wet","Dark","Clear",5,272
"184","Weekend","Evening","Control","Wet","Dark","Clear",2,71
"185","Weekday","Night","Unknown","Wet","Dark","Clear",5,10
"186","Weekend","Night","Unknown","Wet","Dark","Clear",2,8
"187","Weekday","Morning","Unknown","Wet","Dark","Clear",5,2
"188","Weekend","Morning","Unknown","Wet","Dark","Clear",2,0
"189","Weekday","Midday","Unknown","Wet","Dark","Clear",5,0
"190","Weekend","Midday","Unknown","Wet","Dark","Clear",2,0
"191","Weekday","Evening","Unknown","Wet","Dark","Clear",5,8
"192","Weekend","Evening","Unknown","Wet","Dark","Clear",2,1
"193","Weekday","Night","No Control","Other","Dark","Clear",5,93
"194","Weekend","Night","No Control","Other","Dark","Clear",2,85
"195","Weekday","Morning","No Control","Other","Dark","Clear",5,7
"196","Weekend","Morning","No Control","Other","Dark","Clear",2,1
"197","Weekday","Midday","No Control","Other","Dark","Clear",5,6
"198","Weekend","Midday","No Control","Other","Dark","Clear",2,5
"199","Weekday","Evening","No Control","Other","Dark","Clear",5,91
"200","Weekend","Evening","No Control","Other","Dark","Clear",2,21
"201","Weekday","Night","Control","Other","Dark","Clear",5,54
"202","Weekend","Night","Control","Other","Dark","Clear",2,40
"203","Weekday","Morning","Control","Other","Dark","Clear",5,2
"204","Weekend","Morning","Control","Other","Dark","Clear",2,0
"205","Weekday","Midday","Control","Other","Dark","Clear",5,1
"206","Weekend","Midday","Control","Other","Dark","Clear",2,1
"207","Weekday","Evening","Control","Other","Dark","Clear",5,63
"208","Weekend","Evening","Control","Other","Dark","Clear",2,28
"209","Weekday","Night","Unknown","Other","Dark","Clear",5,14
"210","Weekend","Night","Unknown","Other","Dark","Clear",2,18
"211","Weekday","Morning","Unknown","Other","Dark","Clear",5,0
"212","Weekend","Morning","Unknown","Other","Dark","Clear",2,0
"213","Weekday","Midday","Unknown","Other","Dark","Clear",5,0
"214","Weekend","Midday","Unknown","Other","Dark","Clear",2,0
"215","Weekday","Evening","Unknown","Other","Dark","Clear",5,14
"216","Weekend","Evening","Unknown","Other","Dark","Clear",2,8
"217","Weekday","Night","No Control","Dry","Unknown","Clear",5,101
"218","Weekend","Night","No Control","Dry","Unknown","Clear",2,90
"219","Weekday","Morning","No Control","Dry","Unknown","Clear",5,164
"220","Weekend","Morning","No Control","Dry","Unknown","Clear",2,112
"221","Weekday","Midday","No Control","Dry","Unknown","Clear",5,93
"222","Weekend","Midday","No Control","Dry","Unknown","Clear",2,71
"223","Weekday","Evening","No Control","Dry","Unknown","Clear",5,125
"224","Weekend","Evening","No Control","Dry","Unknown","Clear",2,52
"225","Weekday","Night","Control","Dry","Unknown","Clear",5,19
